id;uri;siglaTipo;numero;ano;codTipo;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;uriOrgaoNumerador;uriPropAnterior;uriPropPrincipal;uriPropPosterior;urlInteiroTeor;urnFinal;ultimoStatus_dataHora;ultimoStatus_sequencia;ultimoStatus_uriRelator;ultimoStatus_idOrgao;ultimoStatus_siglaOrgao;ultimoStatus_uriOrgao;ultimoStatus_regime;ultimoStatus_descricaoTramitacao;ultimoStatus_idTipoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_idSituacao;ultimoStatus_despacho;ultimoStatus_url
18553;https://dadosabertos.camara.leg.br/api/v2/proposicoes/18553;PL;2735;1992;139;Projeto de Lei;Regula a liberdade de manifestação do pensamento e da informação e dá outras providências;Regulamenta o disposto no art. 220 e art. 221 da Constituição Federal de 1988.;"Regulamentação, Constituição Federal, liberdade de imprensa, liberdade de pensamento, liberdade de expressão, criação, opinião, divulgação, informação, meios de comunicação, jornal, radio, televisão, restrição, censura, prioridade, concessão, radiodifusão, poder público, educação, cultura, ciência e tecnologia, fundação pública, teleducação.  
_Proibição, monopólio, oligopólio, meios de comunicação, imprensa, rádio, televisão, propriedade, empresa jornalística, emissora, radiodifusão, negociação, capital social, bolsa de valores, registro civil, agência de notícias.  
_Normas, regionalização, programa cultural, atividade artística, filme nacional, filme documentário, programação, emissora, televisão, rádio, direitos, horário, comunidade, representação, instituição cultural, entidades sindicais, fixação, percentual, produção, local, ambito regional, ambito nacional.  
_Normas, meios de comunicação, atendimento, público, proibição, discriminação, remuneração, transmissão, restrição, publicidade, propaganda, ofensa, moral, direitos, cidadania.  
_Definição, direitos, garantia, exercício profissional, jornalista, repórter, radialista, artista, sigilo, fonte, informação, assinatura, organização, competência, conselho editorial.  
_Definição, responsabilidade, responsabilidade civil, ato ilícito, exercício, liberdade de expressão, reparação, indenização, danos morais, danos materiais, calúnia, injúria, difamação, notícia falsa, incitamento, depredação, meio ambiente, propaganda, produto, tóxico, drogas, psicotrópico, dependencia física, dependência psíquica, inexistência, advertência, discriminação, sexo, cor, raça, religião, grupo étnico, violação, privacidade, fixação, penalidade, crime de imprensa, direito de resposta, retratação, procedimento especial, justiça, ação penal.  
_Fixação, prazo, obrigatoriedade, empresa, radiodifusão, arquivo, texto, jornalismo, debate, entrevista.  
_Revogação, Lei de Imprensa, concessão, anistia, crime de imprensa.";1992-04-09T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/16730;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=50697;NA;2015-10-20T00:00:00Z;4;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Urgência (Art. 155, RICD);Arquivamento;502;Arquivada;923;Declarado prejudicado em face da aprovação do Projeto de Lei n. 6.446/2013, apensado. (Sessão Deliberativa Extraordinária de 20/10/2015 – 20:01).;NA
18563;https://dadosabertos.camara.leg.br/api/v2/proposicoes/18563;PL;2741;1992;139;Projeto de Lei;Dispõe sobre a liberdade de informação através dos meios de comuncação social;Revoga a Lei de Imprensa  - lei nº 5.250 de 1967.;"Revogação, Lei de Imprensa, extinção, censura prévia, regulamentação, liberdade de imprensa, manifestação, pensamento, meios de comunicação, comunicação social, jornal, imprensa, revista, rádio, televisão, agência de notícias, exigência, assinatura, direitos e garantias fundamentais, cidadão, poder público, sigilo, preservação, fonte, informações, pluralidade, opinião, dispensa, concorrência, autonomia, inviolabilidade, 
arquivo, direito de resposta, ofensa, privacidade, honra.  
_ Normas, organização, empresa, comunicação social, radiodifusão, emissora, rádio, televisão, empresa jornalística, propriedade, brasileiros, capital social, responsabilidade, editoração, responsabilidade civil, responsabilidade penal, indenização, danos, penalidade, prestação de serviço à comunidade, multa, suspensão, exercício profissional, caracterização, crime, atividade, informação, liberdade de imprensa, danos, máquina, gráfica, banca de jornal, venda, impresso, violência, cobrança, vantagens, publicação, divulgação, notícia falsa, calúnia, difamação, injúria, exceção da verdade, prescrição, extinção da punibilidade, retratação, ação penal, processo penal, julgamento, pedido, explicação, direito de resposta, denúncia, queixa.  
_ Fixação, prazo, empresa, comunicação social, manutenção, arquivo.";1992-04-15T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/16730;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15524;NA;2015-10-20T00:00:00Z;5;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Urgência (Art. 155, RICD);Arquivamento;502;Arquivada;923;Declarado prejudicado em face da aprovação do Projeto de Lei n. 6.446/2013, apensado. (Sessão Deliberativa Extraordinária de 20/10/2015 – 20:01).;NA
209355;https://dadosabertos.camara.leg.br/api/v2/proposicoes/209355;PL;3069;1997;139;Projeto de Lei;Estabelece normas para as eleições em todos os níveis.;NA;"Normas, Legislação Eleitoral, eleição, Presidente da República, Vice-Presidente da República, Governador, Vice-Governador, Prefeito, Vice-Prefeito, Senador, Deputado Federal, Deputado Estadual, Deputado Distrital, Vereador, cálculo, quociente eleitoral, eleição proporcional, validade, voto, candidato, inscrição eleitoral, legenda. _Normas, registro, candidato, opção, partido político, realização, coligação partidária, eleição proporcional, eleição majoritária, exigência, subscrição, presidente, designação, representante, justiça eleitoral, escolha, candidatura, prazo, lavratura, ata, obrigatoriedade, filiação partidária, deferimento, domicílio eleitoral, circunscrição, limitação, quantidade, registro provisório, cargo eletivo, Câmara dos Deputados, Câmara Legislativa do Distrito Federal, assembléa legislativa, câmara municipal, destinação, percentual, vaga, preenchimento, mulher, apresentação, documentação, critérios, cancelamento.  
_Competência, Tribunal Superior Eleitoral (TSE), autorização, Tribunal Regional Eleitoral (TRE), utilização, zona eleitoral, processo eleitoral, identificação, apuração, votação eletrônica, dispensa, cédula eleitoral, tribunais, emissão, título de eleitor, cartão magnético. _Normas, fiscalização, processo eleitoral, competência, juiz eleitoral, nomeação, mesa eleitoral, mesa apuradora, proibição, fiscal, delegado, partido político, menor, parente, dispensa, pessoas, serviço, folga, critérios, credenciamento, pessoal, trabalho, serviço eleitoral, coligação partidária, função fiscalizadora, processo, votação, apuração, eleições, preenchimento, boletim, urna eletrônica, total, resultado, garantia, acesso, programa de computador, ação de impugnação, possibilidade, contratação, empresa, auditoria, recebimento, cópia, dados, processamento, responsabilidade, juiz, recontagem, voto. _Normas, realização, despesa, campanha eleitoral, responsabilidade, partido político, candidato, criação, comitê, arrecadação, recursos financeiros, composição, membros, associado, eleição, cargo eletivo, Presidente da República, obrigação, comitê nacional, registro, justiça eleitoral,  competência, tesoureiro, campanha, prestação de contas, demonstrativo, natureza contábil, balancete, balanço, extrato de conta bancária, penalidade, suspensão, participação, horário gratuito, propaganda eleitoral, cancelamento, registro, exigência, doação, contas, identificação, guias, depósito bancário, nome, doador, pessoa física, Cadastro de Pessoas Físicas (CPF), entrega, excesso, recursos, autorização, justiça, requisição, bancos, comprovante, movimento financeiro, possibilidade, oferecimento, impugnação, solitação, investigação judicial, irregularidade, corregedor geral, corregedor eleitoral, definição, receita, origem, cota, fundo partidário, responsabilidade solidária, definição, gastos pessoais, confecção, material, propaganda, publicidade, aluguel, imóvel, transporte, correspondência. proibição, partido político, coligação partidária, candidato, recebimento, doação, dinheiro, publicidade, procedência, pessoa jurídica, governo estrangeiro, orgão público, autarquia, empresa pública, empresa estatal, entidade, utilidade pública, inscrição, Conselho Nacional de Seguridade Social (CNSS), entidades sindicais, sindicato, penalidade, perda, direitos, cota, fundo partidário, limitação, despesa, campanha eleitoral, valor, dotação orçamentária.  
_Obrigatoriedade, entidade, realização, pesquisa, opinião pública, eleições, candidato, remessa, justiça eleitoral, material, anterioridade, divulgação, resultado, informações, partido político, penalidade, multa, suspensão, programa, propaganda eleitoral. _Definição, crime eleitoral, irregularidade, doação, recursos, partido político, candidato, gastos pessoais, campanha eleitoral, superioridade, valor, aliciamento, coação, eleitor, divulgação, notícia falsa, retenção, título de eleitor, destruição, programa de computador, impedimento, votação eletrônica, pena de detenção, pena de reclusão, multa, dirigente, coligação partidária, membros, comitê, cassação, registro, candidatura, diploma, candidato eleito, pessoa jurídica, descumprimento, financiamento, campanha, abuso de poder, poder econômico, proibição, participação, licitação, administração pública. _Normas, propaganda eleitoral, autorização, posterioridade, escolha, candidato, possibilidade, propaganda, candidatura, indicação, nome, proibição, utilização, cartaz, pichação, inscrição, tinta, bens, imóvel, inexistência, licença, proprietário, penalidade, multa, exigência, sorteio, colocação, local, restrição, empresa de publicidade, cobrança, preço, superioridade, propaganda comercial, obrigatoriedade, emissora, oferecimento, igualdade, tratamento, programação, noticiário, descumprimento, suspensão, transmissão, determinação, justiça eleitoral, denúncia, partido político, Ministério Público, notícia, administração pública, área, eleições, limitação, publicidade, imprensa, jornal, revista, garantia, ofendido, direito de resposta, critérios, realização, horário gratuito, rádio, televisão, debate, candidato, convenção, destinação, quantidade, tempo, cargo eletivo, Presidente da República, Governador, Senador, Deputado Federal, Deputado Estadual, Prefeito, Vereador, segundo turno, redução, horário. _Proibição, transferência, exoneração, demissão, nomeação, ex officio, servidor público, administração direta, administração indireta, estados, municípios, prazo, anterioridade, eleições, garantia, permanência, circunscrição, cargo público, exceção, candidato aprovado, concurso público.";1997-05-07T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;NA;NA;1997-08-27T00:00:00Z;6;NA;NA;NA;NA;Ordinária (Art. 151, III, RICD);Não Informado;5;NA;NA;PREJUDICADO, EM FACE DA APROVAÇÃO DO SUBSTITUTIVO DO RELATOR DA CCJR AO PL. 2695/97. DCD 28 08 97 PAG 25389 COL 02.;NA
21130;https://dadosabertos.camara.leg.br/api/v2/proposicoes/21130;PL;4781;1998;139;Projeto de Lei;Modifica a Lei nº 5.250, de 9 de fevereiro de 1967, proibindo o proselitismo político nas emissoras de radiodifusão sonora e de sons e imagens.;NA;Alteração, Lei de Imprensa, proibição, exposição, opinião, matéria, polêmica, política, favorecimento, candidato, partido político, doutrina, emissora, rádio, televisão, influência, opinião pública, responsabilidade, notícia falsa, multa.;1998-10-13T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=16593;NA;2004-02-09T00:00:00Z;24;https://dadosabertos.camara.leg.br/api/v2/deputados/74425;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Encaminhamento;180;Arquivada;923;Ao arquivo - Guia 8;NA
224231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/224231;PL;4773;1998;139;Projeto de Lei;Institui crime  de ofensa à pessoa jurídica.;NA;Definição, crime, ofensa, pessoa jurídica, falsidade, fato, notícia falsa, prejudicidade, créditos, pena, agravante, divulgação, meios de comunicação, rádio, televisão.;1998-10-13T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;NA;NA;1999-02-02T00:00:00Z;4;NA;NA;NA;NA;Ordinária (Art. 151, III, RICD);Não Informado;5;NA;NA;ARQUIVADO NOS TERMOS DO ARTIGO 105 DO REGIMENTO INTERNO.;NA
27096;https://dadosabertos.camara.leg.br/api/v2/proposicoes/27096;PL;4395;2001;139;Projeto de Lei;Institui a meia-entrada em eventos públicos de cultura, esporte e lazer para doadores regulares de sangue, e dá outras providências.;NA;Concessão, desconto, metade, entrada, ingresso, espetáculo público, atividade cultural, esporte, lazer, doador, sangue, reconhecimento, hospital, banco de sangue, exigência, apresentação, documento oficial, identificação, doação de sangue.;2001-03-28T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/16392;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=323;NA;2001-10-30T00:00:00Z;9;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Arquivamento;502;Arquivada;923;"Arquivado, nos termos no Artigo 133.
DCD 22 11 01 Pág 59727 Col 02.";NA
47605;https://dadosabertos.camara.leg.br/api/v2/proposicoes/47605;PL;6437;2002;139;Projeto de Lei;Dispõe sobre a obrigatoriedade da inscrição de material reaproveitado ou impróprio para consumo em locais determinados nas embalagens ou rótulos de produtos fabricados com esse material, em qualquer proporção, visando a prevenir a propagação de doenças, e dá outras providências.;NA;Obrigatoriedade, empresa, material de consumo, informação, rótulo, embalagem, utilização, reaproveitamento, material reciclável, fabricação, produto, infração, penalidade, legislação sanitária.;2002-04-02T18:54:57Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=24118;NA;2004-02-17T00:00:00Z;14;https://dadosabertos.camara.leg.br/api/v2/deputados/74582;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Encaminhamento;180;Arquivada;923;Ao arquivo - Guia 10;NA
47871;https://dadosabertos.camara.leg.br/api/v2/proposicoes/47871;PL;6451;2002;139;Projeto de Lei;Dá nova redação às Leis nº 8.212 e 8.213, de 24 de julho de 2001 e dá outras providências.;Facultando ao empregador rural o parcelamento de débito previdenciário, e enquadrando como segurado da Previdência Social o empregador que exerce exploração agorpecuária em área superior a da isenção para fins de pagamento do ITR, incluindo-se o cônjuge ou companheiro do produtor na possibilidade de parcelamento das contribuições.;Alteração,Lei Orgânica da Seguridade Social, Lei de Benefícios da Previdência Social,  plano de benefícios, previdência social, equiparação, trabalhador autônomo, mulher, cônjuge, companheiro, produtor rural, participação, atividade rural, segurado obrigatório, aposentadoria, facultatividade, empregador rural, prazo, parcelamento, contribuição previdenciária, débito previdenciário, créditos, Instituto Nacional do Seguro Social (INSS), valor, prestações, juros, redução, multa, pagamento a vista.;2002-04-03T17:02:34Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=24511;NA;2004-02-17T00:00:00Z;18;https://dadosabertos.camara.leg.br/api/v2/deputados/74563;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Encaminhamento;180;Arquivada;923;Ao Arquivo - Guia 10;NA
102782;https://dadosabertos.camara.leg.br/api/v2/proposicoes/102782;SBT;1;0;255;Substitutivo;NA;NA;NA;2002-12-17T15:54:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2014;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/47871;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=110473;NA;2003-01-31T00:00:00Z;2;NA;NA;NA;NA;NA;Arquivamento;502;NA;NA;Arquivado nos termos do Artigo 105 do Regimento Interno;NA
103648;https://dadosabertos.camara.leg.br/api/v2/proposicoes/103648;PL;7514;2003;139;Projeto de Lei;Altera a Lei nº 7.070, de 20 de dezembro de 1982, que dispõe sobre pensão especial para os deficientes físicos que especifica.;Concede um benefício adicional de 35% (trinta e cinco por cento) sobre o valor da pensão especial às vítimas da Síndrome da Talidomida que comprovarem tempo de exercício de atividade remunerada.;Alteração, lei federal, concessão, pensão especial, pessoa deficiente, deficiente físico,  pessoa portadora de deficiência, vítima, Síndrome da Talidomida, inclusão, benefício, adicionais, beneficiário, comprovação, tempo de serviço, atividade remunerada, homem, mulher, limite de idade.;2003-01-14T15:46:18Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=111432;NA;2004-06-04T00:00:00Z;54;https://dadosabertos.camara.leg.br/api/v2/deputados/74137;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Prioridade (Art. 151, II, RICD);Transformação em Norma Jurídica;251;Transformado em Norma Jurídica;1140;Transformado na Lei 10877/04. DOFC 07 06 04 PAG 01 COL 01.;NA
108259;https://dadosabertos.camara.leg.br/api/v2/proposicoes/108259;PL;521;2003;139;Projeto de Lei;Dispõe sobre a criação do Programa Nacional de Orientação e Informação para a Criança e o Adolescente e dá outras providências.;NA;Criação, programa, orientação, informação, criança, adolescente, preparação, educação, trabalho, atualização, ensino fundamental, incentivo, participação, comunidade, saúde, segurança, assistência, portador de necessidade especial, programa cultural, esporte, lazer, especialização, categoria profissional, Programa Nacional de Orientação e Informação para a Criança e o Adolescente (PRONAICA), Poder Executivo, indicação, órgão público, entidade, articulação, meios de comunicação, seleção, programação, televisão, respeito, direitos, infância, adolescência, coordenação, (Ministério da Educação, inclusão, Estado (ente federado), Município, Distrito Federal, convênio, Organização não Governamental (ONG).;2003-03-26T19:44:45Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=120461;NA;2003-11-07T00:00:00Z;25;https://dadosabertos.camara.leg.br/api/v2/deputados/74396;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Arquivamento;502;Arquivada;923;Ao Arquivo - Guia nº 84/03;NA
111100;https://dadosabertos.camara.leg.br/api/v2/proposicoes/111100;PL;740;2003;139;Projeto de Lei;Altera a Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências.;"Estabelece que a aplicação aérea de agrotóxicos não poderá causar perdas ou danos às áreas vizinhas e deverá ser prescrita por profissinal  habilitado; proibindo a utilização do ácido 2,4 - diclorofenoxiacético.";Alteração, Lei dos Agrotóxicos, normas, aplicação, produto, aeronave, aviação agrícola, inexistência, prejuízo, lavoura, criação, animal, animal aquático, meio ambiente, saúde, população, obrigatoriedade, técnico, habilitação profissional, prescrição, defensivo agrícola, responsabilidade solidária, contatrante, danos, terceiros, proibição, utilização, produto químico, agente cancerígeno.;2003-04-14T13:59:39Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=125489;NA;2012-11-28T00:00:00Z;149;https://dadosabertos.camara.leg.br/api/v2/deputados/73892;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;Ordinária (Art. 151, III, RICD);Aprovação de Requerimento;195;Pronta para Pauta;924;"Deferido o REQ 6346/2012, conforme despacho do seguinte teor: ""Defiro a retirada do Requerimento nº 5.586/2012 nos termos do art. 104 c.c. o art. 114, VII, do RICD. Publique-se."".";NA
116774;https://dadosabertos.camara.leg.br/api/v2/proposicoes/116774;EMR;1;0;257;Emenda de Relator;Dê-se ao art. 1º do Projeto de Lei nº 7.514/03 a seguinte redação.;NA;NA;2003-05-23T11:55:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2014;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/103648;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=134855;NA;2003-05-23T11:55:00Z;1;NA;NA;NA;NA;NA;Apresentação de Proposição;100;NA;NA;Apresentação da Emenda de Relator pela Dep. Suely Campos;NA
117044;https://dadosabertos.camara.leg.br/api/v2/proposicoes/117044;PL;1091;2003;139;Projeto de Lei;Dispõe sobre a exigência para que hospitais municipais, estaduais e federais implantem um programa de orientação à gestante sobre os efeitos e métodos utilizados no aborto, quando este for autorizado legalmente.;NA;Normas, exigência, hospital, autorização, realização, aborto, interrupção, gravidez, apresentação, gestante, mulher, representante legal, programa, orientação, efeito, método, retirada, embrião, utilização, equipamentos, audiovisual, opção, adoção, criança.;2003-05-27T16:56:46Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=135461;NA;2008-03-06T00:00:00Z;31;https://dadosabertos.camara.leg.br/api/v2/deputados/74297;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Notificações;1005;Arquivada;923;Ao Arquivo - Memorando nº 44/08 - COPER;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=543252
118836;https://dadosabertos.camara.leg.br/api/v2/proposicoes/118836;SBT;1;0;255;Substitutivo;Substitutivo do relator.;NA;NA;2003-06-06T16:05:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/20125;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=138540;NA;2003-06-06T16:05:00Z;1;NA;NA;NA;NA;NA;Apresentação de Proposição;100;NA;NA;Apresentação do Substitutivo peloDep. Antonio Carlos Biscaia;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=138540
123651;https://dadosabertos.camara.leg.br/api/v2/proposicoes/123651;PL;1420;2003;139;Projeto de Lei;Torna contravenção penal a conduta de informar falsamente os órgãos de utilidade pública ou de segurança.;Alterando o Decreto-Lei nº 3.688, de 1941.;Alteração, Lei das Contravenções Penais, tipicidade, contravenção penal, informação, notícia falsa, solicitação, presença, órgãos, segurança pública, polícia, corpo de bombeiros.;2003-07-08T14:33:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/110751;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=146352;NA;2011-01-31T00:00:00Z;31;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Arquivamento;502;Arquivada;923;Arquivado nos termos do Artigo 105 do Regimento Interno da Câmara dos Deputados. Publicação no DCD do dia 01/02/2011 - Suplemento ao nº 14.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=850547
135861;https://dadosabertos.camara.leg.br/api/v2/proposicoes/135861;PL;2127;2003;139;Projeto de Lei;Dispõe sobre os serviços farmacêuticos de distribuição, dispensação e manipulação de medicamentos, produtos para a saúde e outros que especifica, e dá outras providências.;Revoga a Lei nº 5.991, de 1973 - Lei de Controle Sanitário de Medicamentos.;"Instalação, funcionamento, assistência farmacêutica, farmácia, distribuição, manipulação, dispensação de medicamentos, cosméticos, produto de higiene, produto alimentício, competência, (SUS), coordenação, supervisão, estabelecimento comercial,  laboratório farmacêutico, laboratório oficial, instituição hospitalar, distribuidor, medicamento genérico, medicamento de uso contínuo, produto farmacêutico, proibição, venda, medicamentos, supermercado, auto- tendimento,  exigência, concessão, autorização, licença, autoridade sanitária, propriedade, farmacêutico, titular, responsável, critérios, prescrição médica, receita médica, produto controlado, psicotrópico, entorpecente, penalidade, infrator.  
_ Revogação, Lei de Controle Sanitário de Medicamentos, registro, cosméticos, produto de higiene, perfume.";2003-10-01T17:14:45Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=168234;NA;2012-02-07T00:00:00Z;75;https://dadosabertos.camara.leg.br/api/v2/deputados/74762;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Devolução à CCP;1010;Arquivada;923;Devolução à CCP;NA
138949;https://dadosabertos.camara.leg.br/api/v2/proposicoes/138949;SBT;1;0;255;Substitutivo;Dispõe sobre a identificação e os padrões de qualidade da água adicionada de sais e envasamento para comercialização;NA;NA;2003-10-22T15:29:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2014;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/116094;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=174326;NA;2003-10-22T15:29:00Z;1;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;NA;Apresentação de Proposição;100;Arquivada;923;Apresentação do Substitutivo pelo Dep. Babá;NA
142815;https://dadosabertos.camara.leg.br/api/v2/proposicoes/142815;PL;2501;2003;139;Projeto de Lei;Altera a Lei nº 8.137, de 27 de dezembro de 1990.;Inclui como Crime contra a Ordem Tributária a utilização de fraude para eximir-se do pagamento do tributo.;Alteração, Lei dos Crimes Contra a Ordem Tributaria, inclusão, crime, contribuinte, declaração falsa, omissão, dados, delaração de rendimentos,Fraude fiscal,  falta, pagamento, recolhimento, tributo, desconto, cobrança, sujeito passivo, reclusão,  detenção, crime culposo, multa, infrator, agravação penal, supressão, redução, valor, imposto devido, caracterização, crime de desobediência, descumprimento, prazo, obrigação tributária, fixação, autoridade tributária, atenuação, pena, quitação, débito tributário,  obrigatoriedade, notificação, Ministério Público, remessa, informação, revogação, dispositivo legal, legislação tributária, extinção da punibilidade, sonegação fiscal, tributação..;2003-11-14T16:40:28Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=180910;NA;2008-03-06T00:00:00Z;29;https://dadosabertos.camara.leg.br/api/v2/deputados/73430;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Notificações;1005;Arquivada;923;Ao Arquivo - Memorando nº 44/08 - COPER;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=543252
154950;https://dadosabertos.camara.leg.br/api/v2/proposicoes/154950;PL;3049;2004;139;Projeto de Lei;Dispõe sobre o reconhecimento da condição de ex-combatente dos militares brasileiros que integraram o 20º Contingente do Batalhão de Suez, em 1967.;NA;Reconhecimento, ex-combatente, membros, voluntário, contingente militar, batalhão, luta, guerra, Oriente Médio, País Estrangeiro, Israel, Egito, garantia, direitos, legislação, pensão vitalícia, pensão especial.;2004-03-03T20:57:54Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=200267;NA;2004-12-07T00:00:00Z;33;https://dadosabertos.camara.leg.br/api/v2/deputados/74520;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Arquivamento;502;Arquivada;923;Ao Arquivo - Memorando nº 317/2004 - CCP;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=256662
